BHID,DM,XCOLLAR,YCOLLAR,ZCOLLAR,YEAR,ZCONVERS,DEPTH,DATUMZON,SURVMETH,PROSPECT,SELMOD,STARTDATE,ENDDATE,COMMENTS,BHIDNICK,CHKLITHO,CHKASSAY,CHKSURVE
BAU-MIL5-FD0099,803503_1971,188556.01,9636338.79,142.46,2004,NONE,16.8,SAD69_23S,SURV,MIL5,MIL5,10_06_2004,10_06_2004,,MIL5-FD0099,BAU-MIL5-FD0099,BAU-MIL5-FD0099,BAU-MIL5-FD0099
BAU-MIL5-FD0100,803503_1971,188962.05,9636333.74,140.32,2004,NONE,14.55,SAD69_23S,SURV,MIL5,MIL5,10_06_2004,10_06_2004,,MIL5-FD0100,BAU-MIL5-FD0100,BAU-MIL5-FD0100,BAU-MIL5-FD0100
BAU-MIL5-FD0101,803503_1971,189358.42,9636332.13,128.93,2004,NONE,5.95,SAD69_23S,SURV,MIL5,MIL5,10_06_2004,10_06_2004,,MIL5-FD0101,BAU-MIL5-FD0101,BAU-MIL5-FD0101,BAU-MIL5-FD0101
BAU-MIL5-FD0102,803503_1971,189755.91,9636330.07,127.48,2004,NONE,8.2,SAD69_23S,SURV,MIL5,MIL5,10_06_2004,10_06_2004,,MIL5-FD0102,BAU-MIL5-FD0102,BAU-MIL5-FD0102,BAU-MIL5-FD0102
BAU-MIL5-FD0103,803503_1971,185761.35,9635551.26,143.97,2004,NONE,16.0,SAD69_23S,SURV,MIL5,MIL5,12_06_2004,12_06_2004,,MIL5-FD0103,BAU-MIL5-FD0103,BAU-MIL5-FD0103,BAU-MIL5-FD0103
BAU-MIL5-FD0104,803503_1971,186163.48,9635551.29,144.25,2004,NONE,14.55,SAD69_23S,SURV,MIL5,MIL5,12_06_2004,12_06_2004,,MIL5-FD0104,BAU-MIL5-FD0104,BAU-MIL5-FD0104,BAU-MIL5-FD0104
BAU-MIL5-FD0105,803503_1971,186563.47,9635551.6,143.42,2004,NONE,16.55,SAD69_23S,SURV,MIL5,MIL5,11_06_2004,11_06_2004,,MIL5-FD0105,BAU-MIL5-FD0105,BAU-MIL5-FD0105,BAU-MIL5-FD0105
BAU-MIL5-FD0106,803503_1971,186960.79,9635551.63,142.66,2004,NONE,17.15,SAD69_23S,SURV,MIL5,MIL5,11_06_2004,11_06_2004,,MIL5-FD0106,BAU-MIL5-FD0106,BAU-MIL5-FD0106,BAU-MIL5-FD0106
BAU-MIL5-FD0107,803503_1971,187359.41,9635551.4,142.61,2004,NONE,17.05,SAD69_23S,SURV,MIL5,MIL5,11_06_2004,11_06_2004,,MIL5-FD0107,BAU-MIL5-FD0107,BAU-MIL5-FD0107,BAU-MIL5-FD0107
BAU-MIL5-FD0108,803503_1971,187761.89,9635549.74,142.65,2004,NONE,15.7,SAD69_23S,SURV,MIL5,MIL5,11_06_2004,11_06_2004,,MIL5-FD0108,BAU-MIL5-FD0108,BAU-MIL5-FD0108,BAU-MIL5-FD0108
